0.38913,0.16093,0.57139,0.6474,0.26705,0.58569,0.57836,0.42842,0.30553,0.43979,0.43422,0.33264,0.48706,0.3178,0.4613,0.28655,0.54018,0.12485,0.36194,0.3633,2
0.47237,0.51597,0.58592,0.50295,0.4424,0.47491,0.55456,0.50518,0.18038,0.68671,0.5169,0.5826,0.49882,0.43158,0.72126,0.44092,0.56445,0.51957,0.45274,0.53394,2
0.255,0.39508,0.44821,0.52733,0.36549,0.51046,0.37188,0.65847,0.62092,0.36268,0.58934,0.42525,0.48503,0.37944,0.31368,0.47583,0.35356,0.62059,0.23803,0.41405,2
0.44661,0.3026,0.55385,0.60955,0.42082,0.52934,0.3779,0.27051,0.68585,0.64304,0.55242,0.41908,0.48903,0.25129,0.27371,0.38431,0.29114,0.34552,0.30949,0.56325,2
0.29364,0.51174,0.39529,0.35599,0.34142,0.55214,0.41859,0.58414,0.44293,0.4012,0.48146,0.23502,0.37251,0.36419,0.64872,0.29984,0.5307,0.12385,0.37376,0.62939,2
0.38018,0.64427,0.45462,0.53274,0.25752,0.42068,0.39847,0.62562,0.64008,0.45689,0.51883,0.59468,0.62524,0.29195,0.60354,0.58942,0.714,0.53247,0.49992,0.38055,1
0.35474,0.55543,0.438,0.32618,0.55955,0.37216,0.5416,0.62969,0.37203,0.68272,0.33285,0.21065,0.44179,0.20404,0.56372,0.3818,0.5949,0.37862,0.39383,0.31435,2
0.85743,0.49708,0.59906,0.48294,0.46198,0.73321,0.64655,0.50715,0.33264,0.52173,0.57928,0.49735,0.3654,0.57463,0.80967,0.43072,0.64506,0.39426,0.67612,0.53223,1
0.58672,0.45199,0.49772,0.50621,0.14082,0.52294,0.5532,0.64755,0.47634,0.35783,0.40572,0.5845,0.65625,0.46665,0.40843,0.53646,0.49762,0.31731,0.59752,0.38465,1
0.59367,0.34105,0.36933,0.30163,0.38983,0.29875,0.36322,0.43847,0.1836,0.55107,0.60453,0.53605,0.43415,0.29273,0.39659,0.41151,0.19152,0.39746,0.40362,0.30156,2
0.61038,0.49695,0.8011,0.50102,0.59245,0.73857,0.56064,0.59867,0.52819,0.48731,0.45363,0.46994,0.6607,0.57504,0.27164,0.30056,0.53253,0.31788,0.59362,0.51204,1
0.37439,0.35157,0.52991,0.50317,0.42679,0.48939,0.54009,0.41215,0.43402,0.34781,0.60058,0.48003,0.4286,0.4059,0.17032,0.27279,0.65491,0.473,0.28558,0.2432,2
0.83961,0.6771,0.61795,0.50388,0.64869,0.55918,0.55511,0.81989,0.49598,0.66554,0.28163,0.62587,0.5996,0.65287,0.63958,0.67938,0.53517,0.35412,0.37347,0.4883,1
0.57253,0.37237,0.43767,0.60329,0.35841,0.51899,0.45984,0.66782,0.41374,0.4502,0.43093,0.28212,0.3707,0.3531,0.44925,0.36002,0.45916,0.53924,0.43479,0.58376,2
0.5438,0.40861,0.65633,0.61955,0.32859,0.4826,0.41672,0.40198,0.10203,0.51345,0.35696,0.55414,0.54853,0.62478,0.2322,0.54869,0.61041,0.24475,0.43566,0.32265,2
0.42392,0.11292,0.4874,0.21416,0.20187,0.22554,0.39722,0.32747,0.13945,0.46202,0.2107,0.40364,0.56264,0.55572,0.72073,0.42076,0.4938,0.47457,0.57632,0.46146,2
0.41311,0.44398,0.37365,0.53973,0.37377,0.54501,0.68589,0.709,0.50078,0.55837,0.68533,0.50288,0.59474,0.23966,0.24764,0.359,0.62227,0.54891,0.52627,0.55023,1
