1,0.5,1,0.40585,0.96518,0.31922,0.44566,0.032015,1,0.47725,0.75437,0.16129,0.67216,0.15147,0.24157,0.012425,0.5275,0.18882,0.66555,0,0.43424,0.2735,0.40972,0.32133,0.39834,0.36716,0.39766,0.40799,0.4048,0.44204,0.41687,0.46856,0.43131,0.48777,1
1,0.5,1,0.488,0.9707,0.53265,0.96053,0.38372,0.88576,0.41801,0.76399,0.39863,0.78204,0.49644,0.67197,0.36272,0.7647,0.3911,0.72554,0.41093,0.52991,0.32212,0.51155,0.23561,0.51643,0.17421,0.56645,0.23397,0.51216,0.18901,0.47147,0.20214,0.47696,0.17151,2
1,0.5,0.51168,0.49704,0.45038,0.44026,0.49618,0.44088,0.57353,0.53319,0.51893,0.46849,0.5,0.5,0.47714,0.4223,0.49828,0.44902,0.44212,0.47293,0.50919,0.51835,0.5076,0.50444,0.51757,0.49233,0.4838,0.54612,0.46071,0.50366,0.5,0.5,0.4998,0.56005,1
0,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,1,1,0,0,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,1,0.5,0.5,1
1,0.5,1,0.53327,1,0.40806,1,0.3634,1,0.28446,1,0.29325,0.98116,0.24063,0.95355,0.20492,0.94615,0.16763,0.84938,0.14502,0.85323,0.1184,0.8154,0.09728,0.77933,0.05436,0.73606,0.0675,0.70151,0.081625,0.65498,0.054535,0.61498,0.05421,2
1,0.5,1,0.5369,1,0.5171,1,0.47219,1,0.54382,1,0.59825,1,0.60164,1,0.56393,1,0.5528,1,0.63543,1,0.72379,1,0.70875,1,0.60017,1,0.68371,0.97802,0.74321,1,0.66246,1,0.73356,2
1,0.5,0.99822,0.53234,1,0.49382,0.98906,0.51249,0.98056,0.51156,0.99637,0.53904,0.94661,0.55173,0.97106,0.52634,0.94405,0.5556,0.93052,0.54316,0.90817,0.55915,0.91834,0.57221,0.90664,0.56706,0.89738,0.56819,0.89555,0.5769,0.88561,0.57965,0.85471,0.56007,2
0,0.5,0,1,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0.5,1,0,0,1,1,1,0.5,0.5,0,0,1,0,1,1,0,1,0.5,0.5,1
1,0.5,1,0.46909,1,0.51471,1,0.47435,1,0.49146,1,0.44137,0.92246,0.47399,0.96696,0.46701,0.84585,0.4631,0.82865,0.39816,0.97455,0.34221,0.90426,0.34173,0.92466,0.32581,0.86264,0.35413,0.86547,0.30712,0.77178,0.36858,0.82103,0.30256,2
1,0.5,1,0.7891,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.18602,1,0,1,0,1,0,1,0,1,0,1,0,1
