0.011858,0.74167,0.5,0,0,0.070342,0.0039176,0.26211,0.082662,0.18435,0.17099,0.2187,0.16056,0.68284,0.34,0.39658,0.2187,0.27147,0.15834,6
0.74308,0.73333,0.5,0,0,0.041825,0.0010121,0.068323,0.0017233,0.33824,0.32172,0.39691,0.2915,0.61194,0.49294,0.22201,0.39691,0.30575,0.18411,6
0.88538,0.97083,0.5,0,0,0.11597,0.0022134,0.067081,0.0010966,0.085463,0.075365,0.061856,0.12003,0.73694,0.038824,0.82732,0.1134,0.48015,0.84478,7
0.12253,0.95417,0.5,0,0,0.043726,0.0015537,0.050932,0.0012299,0.084689,0.071313,0.061856,0.12159,0.71455,0.042353,0.8444,0.11487,0.47067,0.85418,7
0.96443,0.6875,0.5,0,0,0.034221,0.00052071,0.02236,0.00040234,0.12884,0.11021,0.11267,0.16368,0.66418,0.084706,0.82732,0.15464,0.35207,0.90259,7
0.31225,0.8,0.5,0,0,0.047529,0.00074907,0.043478,0.001101,0.086496,0.072934,0.059647,0.12783,0.71269,0.023529,0.87666,0.12077,0.51444,0.84459,7
0.72332,0.775,0.5,0,0,0.10456,0.0032824,0.10186,0.0019808,0.083398,0.06483,0.063328,0.12237,0.6791,0.055294,0.85958,0.11561,0.51519,0.87439,7
0.85375,0.975,0.5,0.33333,0.5,0.10837,0.0030418,0.048447,0.00089644,0.067906,0.054295,0.047128,0.10288,0.71828,0.048235,0.83112,0.097202,0.57277,0.85847,7
0.64032,0.82917,0.5,0,0,0.053232,0.00054888,0.03354,0.00069271,0.082623,0.068071,0.05891,0.12159,0.70709,0.037647,0.85958,0.11487,0.48874,0.85415,7
0.18182,0.825,0.5,0,0,0.058935,0.0013003,0.031056,0.00067008,0.081074,0.069692,0.061119,0.11302,0.72948,0.055294,0.80835,0.10677,0.46432,0.85705,7
0.87747,0.725,0.5,0,0,0.01711,0.00035252,0.053416,0.0015009,0.090369,0.084279,0.064801,0.12315,0.76306,0.030588,0.81404,0.11635,0.44542,0.81976,7
0.68775,0.8375,0.5,0.33333,0,0.034221,0.00067223,0.040994,0.00097075,0.085722,0.072934,0.059647,0.12549,0.71828,0.027059,0.86528,0.11856,0.49876,0.84253,7
0.29249,0.89583,0.5,0,0,0.076046,0.00066093,0.036025,0.00073588,0.11645,0.11183,0.086156,0.15277,0.76493,0.014118,0.83871,0.14433,0.40475,0.81699,7
0.64822,0.72917,0.5,0,0,0.087452,0.0015861,0.04472,0.00084669,0.34521,0.32901,0.40501,0.29696,0.61194,0.5,0.21063,0.40501,0.30726,0.18523,6
0.8419,0.7625,0.5,0,0,0.041825,0.0010342,0.07205,0.0012229,0.31423,0.29335,0.36745,0.27747,0.58955,0.46118,0.29602,0.36745,0.29197,0.16741,6
0.85375,0.76667,0.5,0,0,0.14449,0.0033115,0.053416,0.0015163,0.31423,0.2893,0.36819,0.28059,0.56157,0.46471,0.31879,0.36819,0.29296,0.15539,6
0.67194,0.73333,0.5,0,0.5,0.10076,0.0017454,0.059627,0.0017538,0.33721,0.31605,0.39838,0.29228,0.58022,0.50471,0.23529,0.39838,0.30673,0.17554,6
0.090909,0.67083,0.5,0,0,0.039924,0.00092049,0.21863,0.0039352,0.29305,0.27715,0.33358,0.265,0.6306,0.39529,0.36053,0.33358,0.24984,0.15117,6
