0.28984,0.23703,0.27466,0.37122,0.40882,0.47977,0.3452,0.32835,0.28191,0.2845,0.24288,0.64796,0.54402,1,0.63387,0.5659,0.84272,0.71984,0.53531,0.4635,0.42079,3
0.45879,0.56381,0.61883,0.43066,0.22044,0.34682,0.40728,0.4463,0.5594,0.69533,0.66698,0.65897,0.74184,0.53264,0.43706,0.61475,0.25049,0.46401,0.50228,0.21533,0.54119,3
0.30632,0.29593,0.37108,0.40042,0.4018,0.30829,0.2947,0.49912,0.44504,0.3758,0.51233,0.81078,0.59347,0.66793,0.56472,0.69585,0.65437,0.54377,0.72893,0.45134,0.47655,3
0.47802,0.29032,0.63004,0.63816,0.65932,0.56936,0.56374,0.70951,0.42376,0.55202,0.463,0.49725,0.26409,0.32356,0.54699,0.46728,0.26505,0.45039,0.33599,0.382,0.35868,1
0.33104,0.80365,0.60538,0.71011,0.64028,0.60983,0.57947,0.6787,0.58511,0.56476,0.37381,0.42464,0.33432,0.31599,0.44149,0.19355,0.39515,0.35895,0.49203,0.45134,0.41191,2
0.31319,0.53857,0.58408,0.74765,0.55411,0.57418,0.66391,0.68046,0.71897,0.42569,0.39374,0.49285,0.46093,0.12204,0.090426,0.30968,0.33689,0.49805,0.38952,0.40146,0.55133,2
0.38874,0.3885,0.51009,0.22628,0.37475,0.50193,0.26738,0.48856,0.36968,0.34076,0.24763,0.46315,0.46192,0.69253,0.60638,0.70507,0.66602,0.43385,0.48405,0.64842,0.53866,1
0.30907,0.42496,0.48318,0.29301,0.45792,0.4316,0.43295,0.62764,0.49645,0.68577,0.52182,0.77118,0.41939,0.4579,0.26241,0.40184,0.52039,0.33949,0.25968,0.42214,0.29404,2
0.3283,0.2763,0.54709,0.36809,0.24449,0.44509,0.26407,0.32394,0.20656,0.16454,0.27989,0.43894,0.67656,0.71145,0.88298,0.84516,0.63689,0.77043,0.66401,0.59002,0.5019,3
0.59203,0.5568,0.3991,0.3097,0.41483,0.34297,0.23593,0.35827,0.35018,0.22187,0.32732,0.45875,0.56775,0.50615,0.78989,0.75853,0.7699,0.76362,0.45216,0.70803,0.45374,1
0.50137,0.40813,0.32287,0.27112,0.22044,0.26397,0.12583,0.31954,0.59131,0.57537,0.45541,0.59846,0.84471,0.77862,0.66489,0.75023,0.5466,0.74903,0.57631,0.44039,0.45247,3
0.59753,0.51192,0.58408,0.46298,0.62625,0.42967,0.39404,0.66285,0.76596,0.66454,0.58349,0.68647,0.54599,0.29518,0.37057,0.36037,0.30097,0.4465,0.5615,0.42822,0.26362,2
0.35852,0.41234,0.26009,0.25443,0.39479,0.40462,0.55464,0.56778,0.74911,0.82803,0.73814,0.56106,0.70524,0.70766,0.32092,0.33548,0.37379,0.51946,0.28018,0.34672,0.40177,3
0.39423,0.52034,0.97534,0.72367,0.68838,0.72736,0.80712,0.63556,0.66223,0.40552,0.22296,0.38174,0.18101,0.088931,0.041667,0.3023,0.3466,0.40272,0.31207,0.61679,0.55513,1
0.20467,0.46283,0.61099,0.56934,0.40281,0.28709,0.27897,0.29313,0.32801,0.57643,0.32163,0.51925,0.53215,0.7597,0.66046,0.57972,0.89709,0.74611,0.51025,0.61192,0.40304,3
0.69505,0.66199,0.76457,0.72471,0.46293,0.57129,0.60017,0.70687,0.57535,0.6104,0.39564,0.32563,0.30564,0.40587,0.42199,0.34839,0.54466,0.39689,0.46697,0.17153,0.41698,2
0.36676,0.52454,0.53251,0.2878,0.43287,0.7052,0.45695,0.70687,0.73936,0.66136,0.60721,0.63476,0.41048,0.48534,0.4672,0.47465,0.5,0.54086,0.49658,0.41727,0.74905,2
